num_pkts_in,num_pkts_out,bytes_in,bytes_out,min_packets_length,max_packets_length,mean_packets_length,min_inter_arrival_time,max_inter_arrival_time,mean_inter_arrival_time,cs,c_extensions,c_key_length,sni
6,6,3992,371,107,1460,727,0,40,9,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '0017000014736a732e62697a6f67726170686963732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['sjs.bizographics.com']
5,6,2834,343,75,1430,635,0,100,29,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001b0000187777772e676f6f676c65616473657276696365732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['www.googleadservices.com']
13,12,13103,844,75,1430,996,0,472,44,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001b0000187777772e676f6f676c65616473657276696365732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['www.googleadservices.com']
7,8,4870,351,91,1460,745,0,23,6,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '0013000010742e6d7976697375616c69712e6e6574'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['t.myvisualiq.net']
8,9,5531,1044,91,1460,730,0,2119,240,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '0013000010742e6d7976697375616c69712e6e6574'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['t.myvisualiq.net']
13,11,10599,773,40,1460,812,0,330,30,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '000d00000a732e79696d672e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['s.yimg.com']
7,8,4974,305,51,1460,754,0,20,8,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '000d00000a732e79696d672e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['s.yimg.com']
5,6,3479,357,91,1460,639,0,28,11,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '00190000167374617469632e6164732d747769747465722e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['static.ads-twitter.com']
7,8,6060,810,91,1460,763,0,528,72,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '00190000167374617469632e6164732d747769747465722e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['static.ads-twitter.com']
7,7,5744,359,91,1460,871,0,49,10,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001b000018642e696d706163747261646975732d6576656e742e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['d.impactradius-event.com']
16,16,17903,860,91,1460,1103,0,1272,78,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001b000018642e696d706163747261646975732d6576656e742e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['d.impactradius-event.com']
5,7,2628,318,51,1430,589,0,71,28,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001a00001773746174732e672e646f75626c65636c69636b2e6e6574'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['stats.g.doubleclick.net']
6,8,3610,917,51,1430,646,0,1203,183,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001a00001773746174732e672e646f75626c65636c69636b2e6e6574'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['stats.g.doubleclick.net']
7,6,2999,350,91,1400,558,0,119,31,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001200000f62616d2e6e722d646174612e6e6574'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['bam.nr-data.net']
10,8,3324,1331,6,1400,517,0,1043,128,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001200000f62616d2e6e722d646174612e6e6574'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['bam.nr-data.net']
6,6,3717,506,51,1460,703,0,301,54,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001600001370782e6164732e6c696e6b6564696e2e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",2064,['px.ads.linkedin.com']
13,12,5961,3084,49,1460,603,0,619,83,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001600001370782e6164732e6c696e6b6564696e2e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",2064,['px.ads.linkedin.com']
7,8,4749,1130,91,1460,734,0,203,37,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001900001673702e616e616c79746963732e7961686f6f2e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['sp.analytics.yahoo.com']
