num_pkts_in,num_pkts_out,bytes_in,bytes_out,min_packets_len,max_packets_len,mean_packets_len,std_packets_len,min_ipt,max_ipt,mean_ipt,std_ipt,cs,cs_len,c_extensions,c_extensions_len,c_key_length,SNIisIP,c027,009e,0032,c02c,c028,0038,006a,0004,c013,c009,0035,c023,0039,003c,003d,c014,009c,0040,c00a,0033,009d,0013,0005,009f,002f,c02b,c024,000a,ec_point_formats,renegotiation_info,extended_master_secret,supported_groups,signature_algorithms,server_name,status_request
40,32,47860,3051,73,1430,1157,481,0,534,38,112,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']",26,"[{'server_name': '001b0000187777772e676f6f676c652d616e616c79746963732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",7,528.0,False,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
6,8,3008,343,73,1430,558,617,0,110,48,37,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']",26,"[{'server_name': '001b0000187777772e676f6f676c657461676d616e616765722e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",7,528.0,False,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
42,32,53561,812,73,1430,1264,416,0,247,14,40,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']",26,"[{'server_name': '001b0000187777772e676f6f676c657461676d616e616765722e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",7,528.0,False,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
16,9,17066,825,91,1460,1052,559,0,404,27,95,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']",26,"[{'server_name': '00180000156a732d6167656e742e6e657772656c69632e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",7,528.0,False,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
8,7,6902,356,91,1460,907,607,0,51,7,16,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']",26,"[{'server_name': '00180000156a732d6167656e742e6e657772656c69632e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",7,528.0,False,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
9,7,6916,347,91,1460,907,609,0,52,9,17,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']",26,"[{'server_name': '000f00000c6261742e62696e672e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",7,528.0,False,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
18,13,15027,2229,91,1460,1015,511,0,396,33,92,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']",26,"[{'server_name': '000f00000c6261742e62696e672e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",7,528.0,False,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
10,9,8957,856,107,1460,892,563,0,56,12,16,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']",26,"[{'server_name': '0017000014736a732e62697a6f67726170686963732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",7,528.0,False,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
6,6,3992,371,107,1460,727,591,0,55,15,18,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']",26,"[{'server_name': '0017000014736a732e62697a6f67726170686963732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",7,528.0,False,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
5,6,2834,343,75,1430,635,609,0,148,95,62,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']",26,"[{'server_name': '001b0000187777772e676f6f676c65616473657276696365732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",7,528.0,False,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
13,12,13103,844,75,1430,996,573,0,624,92,160,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']",26,"[{'server_name': '001b0000187777772e676f6f676c65616473657276696365732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",7,528.0,False,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
7,8,4870,351,91,1460,745,571,0,42,9,15,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']",26,"[{'server_name': '0013000010742e6d7976697375616c69712e6e6574'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",7,528.0,False,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
8,9,5531,1044,91,1460,730,505,0,2163,248,677,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']",26,"[{'server_name': '0013000010742e6d7976697375616c69712e6e6574'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",7,528.0,False,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
